,user_id,activity_type_id,activity_type,date,start,finish,day,method
22,3,62,WALKING,2019-06-13,2019-06-13 00:47:42,2019-06-13 09:47:57 +0900,13,proposed
24,3,62,WALKING,2019-06-13,2019-06-13 00:56:28,2019-06-13 09:57:30 +0900,13,proposed
25,5,62,WALKING,2019-06-13,2019-06-13 00:55:08,2019-06-13 09:57:05 +0900,13,proposed
26,5,62,WALKING,2019-06-13,2019-06-13 00:55:08,2019-06-13 09:57:05 +0900,13,proposed
28,5,62,WALKING,2019-06-14,2019-06-14 02:01:42,2019-06-14 11:02:34 +0900,14,traditional
29,5,62,WALKING,2019-06-14,2019-06-14 02:01:42,2019-06-14 11:02:34 +0900,14,traditional
30,6,62,WALKING,2019-06-13,2019-06-13 00:42:09,2019-06-13 09:48:54 +0900,13,proposed
31,6,62,WALKING,2019-06-13,2019-06-13 00:54:59,2019-06-13 09:58:46 +0900,13,proposed
35,3,62,WALKING,2019-06-13,2019-06-13 02:28:07,2019-06-13 11:28:27 +0900,13,proposed
36,2,62,WALKING,2019-06-13,2019-06-13 02:32:32,2019-06-13 11:50:32 +0900,13,proposed
37,3,62,WALKING,2019-06-13,2019-06-13 02:32:37,2019-06-13 11:33:46 +0900,13,proposed
39,3,62,WALKING,2019-06-13,2019-06-13 02:34:27,2019-06-13 11:40:32 +0900,13,proposed
40,3,62,WALKING,2019-06-13,2019-06-13 02:34:27,2019-06-13 11:40:32 +0900,13,proposed
45,3,62,WALKING,2019-06-13,2019-06-13 02:49:58,2019-06-13 11:50:29 +0900,13,proposed
50,3,62,WALKING,2019-06-13,2019-06-13 02:52:43,2019-06-13 11:54:22 +0900,13,proposed
51,3,62,WALKING,2019-06-13,2019-06-13 02:55:49,2019-06-13 11:56:17 +0900,13,proposed
53,6,62,WALKING,2019-06-13,2019-06-13 02:32:39,2019-06-13 11:42:48 +0900,13,proposed
54,6,62,WALKING,2019-06-13,2019-06-13 02:50:44,2019-06-13 11:51:39 +0900,13,proposed
55,6,62,WALKING,2019-06-13,2019-06-13 02:57:33,2019-06-13 12:00:27 +0900,13,proposed
56,2,62,WALKING,2019-06-13,2019-06-13 03:04:37,2019-06-13 12:05:01 +0900,13,proposed
58,3,62,WALKING,2019-06-13,2019-06-13 03:04:51,2019-06-13 12:04:52 +0900,13,proposed
67,6,62,WALKING,2019-06-13,2019-06-13 03:40:27,2019-06-13 12:41:18 +0900,13,proposed
68,6,62,WALKING,2019-06-13,2019-06-13 03:42:08,2019-06-13 12:42:49 +0900,13,proposed
