"","X","mean_x","max_x","min_x","sd_x","mean_y","max_y","min_y","sd_y","mean_z","max_z","min_z","sd_z","act","time","time0_start","time1_finish"
"1",0,-0.730820512820513,0.306,-2.796,0.541429175221979,-9.52757692307692,-8.542,-10.19,0.258090617290259,0.131602564102564,0.517,0.025,0.131859068779186,"SITTING","2019-06-13 09:41:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"2",1,-9.6145,-9.577,-9.653,0.0223524401117054,0.17185,0.239,0.134,0.0242406248833821,-3.61875,-3.495,-3.677,0.0482721179193646,"SITTING","2019-06-13 09:42:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"3",2,-7.881,-7.881,-7.881,0,-2.537,-2.537,-2.537,0,-6.407,-6.407,-6.407,0,"SITTING","2019-06-13 09:43:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"4",3,-9.63257777777778,-9.567,-9.72,0.0228197518316468,0.202511111111111,0.277,0.143,0.0246450051663707,-3.4825,-3.361,-3.639,0.058382360349681,"SITTING","2019-06-13 09:44:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"5",4,-8.063,-8.063,-8.063,0,-2.537,-2.537,-2.537,0,-6.043,-6.043,-6.043,0,"SITTING","2019-06-13 09:45:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"6",5,-0.845904306220096,0.028,-4.003,0.568900711587557,6.97935885167464,7.824,6.426,0.311342920066601,6.56987081339713,7.546,5.056,0.481953893381898,"SITTING","2019-06-13 09:46:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"7",6,-1.21237603305785,7.623,-14.059,4.78867778283369,-0.510099173553719,6.627,-3.256,2.23788673434715,-5.81079338842975,9.025,-9.93,5.71592275676324,"SITTING","2019-06-13 09:47:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"8",7,-2.23490186915888,5.248,-9.395,2.85120405145633,5.94459579439252,7.613,0.162,1.83982771128043,6.50686682242991,9.28,2.47,0.520648985687228,"SITTING","2019-06-13 09:48:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"9",8,-7.23908333333333,-7.048,-7.364,0.0470750101166265,2.95664,3.495,2.806,0.0951925898580326,6.00586,6.196,5.755,0.0638159487724326,"SITTING","2019-06-13 09:49:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"10",9,-7.15596875,-6.924,-7.288,0.0449123528349694,3.00507291666667,3.275,2.863,0.0684170678915947,6.06651041666667,6.244,5.832,0.0602676395140903,"SITTING","2019-06-13 09:50:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"11",10,-0.894832535885167,-0.804,-0.996,0.037243942380193,0.0943397129186603,0.153,0,0.0377079414446627,9.76528708133971,9.767,9.764,0.000729775780954343,"SITTING","2019-06-13 09:51:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"12",11,-0.889129186602871,-0.804,-0.957,0.0395866571320805,0.091244019138756,0.191,0,0.0422410980052832,9.76525358851675,9.767,9.764,0.000684863155240457,"SITTING","2019-06-13 09:52:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"13",12,-0.894894736842105,-0.804,-0.996,0.0351088749060119,0.0843062200956938,0.191,0,0.0392422457990769,9.7654976076555,9.767,9.763,0.000658702117759518,"SITTING","2019-06-13 09:53:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"14",13,-9.27384210526316,-9.203,-9.347,0.0290669114001794,-3.67935087719298,-3.601,-3.773,0.0348330155517876,0.962035087719298,1.053,0.794,0.0503037079406822,"SITTING","2019-06-13 09:54:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"15",14,-5.56421484375,-5.382,-5.707,0.0934949130123731,-1.89308984375,-1.743,-2.011,0.0541563797264323,-7.939453125,-7.738,-8.092,0.0733902658903142,"SITTING","2019-06-13 09:55:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"16",15,-6.292,-6.292,-6.292,0,-5.047,-5.047,-5.047,0,-6.493,-6.493,-6.493,0,"SITTING","2019-06-13 09:56:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"17",16,-1.11768899521531,-0.996,-1.187,0.0378967971480666,0.0418373205741627,0.153,-0.038,0.0407762697828228,9.74182296650718,9.744,9.74,0.000809943495077749,"SITTING","2019-06-13 09:57:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"18",17,0.278809128630705,0.383,0.191,0.0394285862835695,-0.987713692946058,-0.881,-1.072,0.0396218187373488,9.75292116182573,9.755,9.751,0.000850250146252935,"SITTING","2019-06-13 09:58:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"19",18,-6.454,-6.454,-6.454,0,-5.047,-5.047,-5.047,0,-6.636,-6.636,-6.636,0,"SITTING","2019-06-13 09:59:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"20",19,-0.518592452830189,10.113,-6.55,1.51301906693621,4.23436226415094,9.921,-10.688,4.04574183425978,7.41503018867925,9.907,0.532,2.02849685332112,"SITTING","2019-06-13 10:00:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"21",20,0.283497607655502,0.383,0.191,0.0353032364502825,-0.98555980861244,-0.881,-1.072,0.0364063275349022,9.75222966507177,9.755,9.751,0.000768915559267434,"SITTING","2019-06-13 10:01:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"22",21,-0.944358851674641,-0.766,-1.072,0.0620095404463484,1.33394258373206,1.762,1.187,0.0624632703999836,9.66912440191387,9.681,9.644,0.00409195126380784,"SITTING","2019-06-13 10:02:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"23",22,-0.894181818181818,-0.842,-0.996,0.0310962441237105,1.35686124401914,1.455,1.264,0.0404884228512724,9.67114354066985,9.674,9.667,0.00148014711441449,"SITTING","2019-06-13 10:03:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"24",23,-0.893588516746412,-0.804,-0.996,0.0372360332902583,1.36145454545455,1.455,1.264,0.0407050730502719,9.67044976076555,9.674,9.667,0.00132962271983709,"SITTING","2019-06-13 10:04:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"25",24,-0.892071770334928,-0.804,-0.996,0.0377272552114934,1.36016267942584,1.455,1.264,0.0389753662895109,9.67096650717703,9.674,9.667,0.00141890659122151,"SITTING","2019-06-13 10:05:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"26",25,-6.86281939799331,-1.369,-10.295,3.41844503694723,1.3444983277592,4.28,-0.325,1.80341138958859,5.94314715719064,9.337,3.782,1.96351869429243,"SITTING","2019-06-13 10:06:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"27",26,0.203329268292683,0.239,0.162,0.016510309014546,-0.206487804878049,-0.086,-0.277,0.026671941969107,9.78015853658536,9.864,9.644,0.0257484144545841,"SITTING","2019-06-13 10:07:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"28",27,-9.43350285714286,-8.964,-10.362,0.197044684654041,-1.30682285714286,-0.383,-2.719,0.627093869618918,3.21942857142857,3.84,0.967,0.516111348902868,"SITTING","2019-06-13 10:08:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"29",28,-9.44473666666667,-9.059,-10.266,0.195843789677914,-1.11799666666667,-0.268,-2.394,0.55064057253587,3.31804666666667,3.917,2.25,0.190209384245553,"SITTING","2019-06-13 10:09:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"30",29,-0.848164502164502,-0.574,-1.034,0.098720020191443,1.3925367965368,1.57,1.264,0.0870553905937613,9.66886147186147,9.675,9.659,0.00456144861599671,"SITTING","2019-06-13 10:10:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"31",30,-0.682087248322148,1.877,-1.264,0.307566712888174,1.51292617449664,1.647,0.996,0.0712661640232654,9.64728859060403,9.702,8.545,0.129580367178579,"SITTING","2019-06-13 10:11:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"32",31,-0.000361502347417853,3.562,-5.631,0.7352455602001,0.123610328638498,2.643,-1.723,0.396762800778368,9.09784976525822,10.351,-10.213,3.44657419273143,"SITTING","2019-06-13 10:12:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"33",32,0.268,0.268,0.268,0,0.095,0.095,0.095,0,10.218,10.218,10.218,0,"SITTING","2019-06-13 10:13:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"34",33,-9.72253170731708,-9.462,-9.883,0.047515066955199,-0.637131707317073,-0.43,-0.727,0.0466717492279039,2.22239512195122,2.614,1.647,0.222861635997803,"SITTING","2019-06-13 10:14:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"35",34,-9.60120118343195,-6.876,-9.96,0.267300895636575,-0.905177514792899,1.944,-3.428,1.2566568570601,2.20295266272189,3.869,0.181,0.392578393909919,"SITTING","2019-06-13 10:15:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"36",35,-9.50161333333333,-7.518,-9.902,0.299661230948105,-1.57808666666667,-0.105,-3.859,0.99617742262446,2.43603,3.974,1.034,0.410822939222367,"SITTING","2019-06-13 10:16:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"37",36,-9.21549504950495,-8.14,-9.816,0.228001255424718,-3.44042574257426,-1.963,-4.127,0.226675421981946,1.67146534653465,3.256,0.45,0.84092404608688,"SITTING","2019-06-13 10:17:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"38",37,-9.19145918367347,-8.887,-9.51,0.0739116946185048,-3.4431156462585,-3.045,-3.715,0.11950212513322,1.97789455782313,2.633,1.513,0.164303159108851,"SITTING","2019-06-13 10:18:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"39",38,-9.14583620689655,-6.617,-10.362,0.323958852566066,-3.46571551724138,-0.114,-6.924,0.545447479734232,1.7816724137931,3.61,-0.632,0.683549658205155,"SITTING","2019-06-13 10:19:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"40",39,-9.50037333333333,-9.376,-9.682,0.0497522981496451,-2.84914666666667,-2.566,-2.959,0.0775047850891266,1.34596,1.656,1.197,0.0970130166802651,"SITTING","2019-06-13 10:20:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
"41",40,-9.4956,-9.347,-9.605,0.0392324814012475,-2.89366923076923,-2.748,-3.093,0.0459800071924657,1.25315384615385,1.446,1.015,0.0810589278938105,"SITTING","2019-06-13 10:21:00","2019-06-13 09:37:18","2019-06-13 10:33:24"
