"","X.1","X","mean_x","max_x","min_x","sd_x","mean_y","max_y","min_y","sd_y","mean_z","max_z","min_z","sd_z","act","time","time0_start","time1_finish"
"1",1,0,0.641147058823529,0.727,0.574,0.03889183803637,1.41138235294118,1.494,1.302,0.0483985411806067,9.68389705882353,9.687,9.681,0.00161281903827427,"SITTING","2019-06-13 00:19:00","2019-06-13 00:18:28","2019-06-13 00:38:33"
"2",2,1,-0.481336585365854,-0.383,-0.574,0.0378598923541448,-0.116970731707317,0.076,-0.689,0.068431009496693,9.7939268292683,9.795,9.792,0.000568375907026613,"SITTING","2019-06-13 00:20:00","2019-06-13 00:18:28","2019-06-13 00:38:33"
"3",3,2,-0.483658878504673,-0.383,-0.612,0.0354911943142762,-0.110271028037383,0,-0.191,0.0428744361916327,9.794,9.795,9.793,0.000411113225896674,"SITTING","2019-06-13 00:21:00","2019-06-13 00:18:28","2019-06-13 00:38:33"
"4",4,3,0.535056338028169,0.651,0.459,0.0403104300810493,1.38823943661972,1.494,1.302,0.0412847217350161,9.69336150234742,9.699,9.691,0.00154974787853462,"SITTING","2019-06-13 00:22:00","2019-06-13 00:18:28","2019-06-13 00:38:33"
"5",5,4,-0.471804166666667,0.038,-0.612,0.0773672380424376,-0.1030625,0.344,-0.306,0.0630829321484971,9.79436666666667,9.799,9.792,0.0023623027320918,"SITTING","2019-06-13 00:23:00","2019-06-13 00:18:28","2019-06-13 00:38:33"
"6",6,5,0.990897540983606,2.03,0.421,0.607104171502434,1.5736393442623,1.915,1.302,0.1683784227877,9.60870901639344,9.789,9.438,0.102779766550607,"SITTING","2019-06-13 00:24:00","2019-06-13 00:18:28","2019-06-13 00:38:33"
"7",7,6,-0.419762557077625,-0.038,-0.651,0.0733575400578538,-0.119739726027397,0,-0.459,0.0566496623140118,9.79637442922374,9.8,9.795,0.00067489993703823,"SITTING","2019-06-13 00:25:00","2019-06-13 00:18:28","2019-06-13 00:38:33"
"8",8,7,6.98405853658537,7.058,6.933,0.0136879254004941,-1.78075609756098,-1.714,-1.81,0.0352976006570885,-6.42995609756098,-6.378,-6.598,0.0720940495789792,"SITTING","2019-06-13 00:28:00","2019-06-13 00:18:28","2019-06-13 00:38:33"
"9",9,8,-0.132606425702811,-0.038,-0.229,0.0373316343907655,0.152510040160643,0.229,0.076,0.038759817949758,9.80418473895582,9.805,9.804,0.000388867296546035,"SITTING","2019-06-13 00:29:00","2019-06-13 00:18:28","2019-06-13 00:38:33"
"10",10,9,-0.418022222222222,-0.153,-0.689,0.0706316175436001,-0.0818222222222222,0.689,-1.072,0.109744404528873,9.79668888888889,9.8,9.793,0.00110643858808658,"SITTING","2019-06-13 00:30:00","2019-06-13 00:18:28","2019-06-13 00:38:33"
"11",11,10,-0.418292576419214,-0.268,-0.536,0.0430672361617698,-0.0469694323144105,0.153,-0.153,0.0443081705083738,9.7975807860262,9.798,9.797,0.000494511359542104,"SITTING","2019-06-13 00:31:00","2019-06-13 00:18:28","2019-06-13 00:38:33"
"12",12,11,-0.425801687763713,-0.344,-0.574,0.0412804422504607,-0.0651983122362869,0.114,-0.191,0.0488213484547077,9.79703797468355,9.798,9.795,0.000855337746374804,"SITTING","2019-06-13 00:32:00","2019-06-13 00:18:28","2019-06-13 00:38:33"
"13",13,12,-0.700037037037037,3.639,-10.956,2.31968465885527,2.15845185185185,13.254,-3.83,3.47534004933119,8.27961481481481,11.475,-1.572,3.03205246229468,"SITTING","2019-06-13 00:33:00","2019-06-13 00:18:28","2019-06-13 00:38:33"
"14",14,13,-0.495575342465753,-0.383,-0.574,0.0451084858388392,-0.0563561643835616,0.038,-0.153,0.0529035731472873,9.79371232876712,9.795,9.793,0.000564689001299972,"SITTING","2019-06-13 00:34:00","2019-06-13 00:18:28","2019-06-13 00:38:33"
"15",15,14,6.50376315789474,7.891,3.102,0.643528931369,-4.20760087719298,-3.409,-5.209,0.26824606265775,-5.86929824561403,-1.885,-7.889,0.741125485695621,"SITTING","2019-06-13 00:35:00","2019-06-13 00:18:28","2019-06-13 00:38:33"
"16",16,15,3.49116666666667,9.462,-7.393,2.79437689387678,-6.78546124031008,4.826,-10.534,3.27866108082669,-2.47774031007752,4.903,-8.925,2.89082239560998,"SITTING","2019-06-13 00:36:00","2019-06-13 00:18:28","2019-06-13 00:38:33"
"17",17,16,-6.3283027027027,0.268,-10.611,2.37380708834052,-0.0658378378378379,6.818,-6.014,2.31776791417849,6.0632,9.771,0.008,2.82053734820312,"SITTING","2019-06-13 00:37:00","2019-06-13 00:18:28","2019-06-13 00:38:33"
"18",18,17,-4.24831818181818,-0.689,-9.423,2.7689762142156,1.83495454545455,5.286,-1.838,2.08040413833175,8.06990909090909,10.078,3.246,1.90448487996326,"SITTING","2019-06-13 00:38:00","2019-06-13 00:18:28","2019-06-13 00:38:33"
"19",19,18,0.823612903225806,0.842,0.823,0.00341250073850873,0.00248387096774194,0.086,-0.009,0.0155839040203708,-9.66267741935484,-9.653,-9.663,0.00179605302026747,"WALKING","2019-06-13 00:57:00","2019-06-13 00:55:08","2019-06-13 00:57:05"
"20",20,19,0.823612903225806,0.842,0.823,0.00341250073850873,0.00248387096774194,0.086,-0.009,0.0155839040203708,-9.66267741935484,-9.653,-9.663,0.00179605302026747,"WALKING","2019-06-13 00:57:00","2019-06-13 00:55:08","2019-06-13 00:57:05"
"21",21,20,-0.356016129032258,-0.306,-0.459,0.0420395956741034,0.169451612903226,0.268,0.076,0.0383806121733164,9.79833870967742,9.799,9.798,0.000477134492744918,"SITTING","2019-06-13 03:04:00","2019-06-13 03:03:26","2019-06-13 03:46:00"
"22",22,21,-1.21087951807229,-0.134,-1.666,0.630989841779591,2.0050843373494,2.499,0.622,0.811420467900151,-9.58926506024096,-9.376,-9.883,0.179235305506296,"SITTING","2019-06-13 03:05:00","2019-06-13 03:03:26","2019-06-13 03:46:00"
"23",23,22,-5.35727868852459,-5.267,-5.526,0.0469538655754847,-4.4862868852459,-4.395,-4.616,0.0422842563961865,7.14691803278689,7.326,6.981,0.0656242232746082,"SITTING","2019-06-13 03:06:00","2019-06-13 03:03:26","2019-06-13 03:46:00"
"24",24,23,0.61065652173913,0.689,0.498,0.0390699666435195,9.44528260869565,9.538,9.347,0.0386830492443634,0.176039130434783,0.195,0.159,0.00614548786302727,"SITTING","2019-06-13 03:07:00","2019-06-13 03:03:26","2019-06-13 03:46:00"
"25",25,24,-5.35553125,-4.884,-5.918,0.11007614141082,-4.58897916666667,-4.29,-5.2,0.101386179808396,7.08452083333333,7.422,6.56,0.0914504155746266,"SITTING","2019-06-13 03:08:00","2019-06-13 03:03:26","2019-06-13 03:46:00"
